Date,Actual,Forecasted
2010-01-04 00:00:00,30.572856903076172,28.93504074555417
2010-01-05 00:00:00,30.625713348388672,29.03758306346533
2010-01-06 00:00:00,30.13857078552246,29.063673513159817
2010-01-07 00:00:00,30.082857131958008,29.0921617503334
2010-01-08 00:00:00,30.28285789489746,29.069875509491194
2010-01-11 00:00:00,30.015714645385742,29.2162949773371
2010-01-12 00:00:00,29.674285888671875,29.286651617145996
2010-01-13 00:00:00,30.092857360839844,29.277218385399472
2010-01-14 00:00:00,29.91857147216797,29.268778068329368
2010-01-15 00:00:00,29.41857147216797,29.209119011751966
2010-01-19 00:00:00,30.719999313354492,29.299883759341565
2010-01-20 00:00:00,30.247142791748047,29.269943628675907
2010-01-21 00:00:00,29.724285125732422,29.247306333686385
2010-01-22 00:00:00,28.25,29.180433228272047
2010-01-25 00:00:00,29.010000228881836,29.24988335921146
2010-01-26 00:00:00,29.420000076293945,29.3171971745855
2010-01-27 00:00:00,29.6971435546875,29.31722177909738
2010-01-28 00:00:00,28.469999313354492,29.33105838177337
2010-01-29 00:00:00,27.437143325805664,29.306211918597445
2010-02-01 00:00:00,27.818571090698242,29.527956813877726
2010-02-02 00:00:00,27.979999542236328,29.651188398358023
2010-02-03 00:00:00,28.461427688598633,29.706610191576075
2010-02-04 00:00:00,27.435714721679688,29.774848870225906
2010-02-05 00:00:00,27.9228572845459,29.80129202485069
2010-02-08 00:00:00,27.731428146362305,30.155725029328345
2010-02-09 00:00:00,28.027143478393555,30.312174065350533
2010-02-10 00:00:00,27.874286651611328,30.39186658123751
2010-02-11 00:00:00,28.381427764892578,30.476624318548616
2010-02-12 00:00:00,28.625713348388672,30.510209176439215
2010-02-16 00:00:00,29.05714225769043,30.976008459541205
2010-02-17 00:00:00,28.935714721679688,31.024539779717433
2010-02-18 00:00:00,28.989999771118164,31.072271151278294
2010-02-19 00:00:00,28.809999465942383,31.06297577874424
2010-02-22 00:00:00,28.631427764892578,31.2527584609644
2010-02-23 00:00:00,28.15142822265625,31.33782519121939
2010-02-24 00:00:00,28.665714263916016,31.3378591518362
2010-02-25 00:00:00,28.85714340209961,31.33977075165462
2010-02-26 00:00:00,29.231428146362305,31.288037792331366
2010-03-01 00:00:00,29.855714797973633,31.38392258856879
2010-03-02 00:00:00,29.83571434020996,31.450490325474178
2010-03-03 00:00:00,29.904285430908203,31.438736959616605
2010-03-04 00:00:00,30.101428985595703,31.435981897221883
2010-03-05 00:00:00,31.27857208251953,31.386377356974034
2010-03-08 00:00:00,31.297142028808594,31.52699410153409
2010-03-09 00:00:00,31.860000610351562,31.618997079197726
2010-03-10 00:00:00,32.119998931884766,31.635986352345913
2010-03-11 00:00:00,32.21428680419922,31.664678488121258
2010-03-12 00:00:00,32.371429443359375,31.647710002425985
2010-03-15 00:00:00,31.977142333984375,31.887519533638983
2010-03-16 00:00:00,32.06428527832031,32.0093923377477
2010-03-17 00:00:00,32.01714324951172,32.051906976400325
2010-03-18 00:00:00,32.092857360839844,32.10204798114864
2010-03-19 00:00:00,31.75,32.101047152643574
2010-03-22 00:00:00,32.10714340209961,32.36053202228643
2010-03-23 00:00:00,32.62285614013672,32.47849788118546
2010-03-24 00:00:00,32.76714324951172,32.51069709214356
2010-03-25 00:00:00,32.378570556640625,32.54585639343583
2010-03-26 00:00:00,32.985713958740234,32.52503087683816
2010-03-29 00:00:00,33.198570251464844,32.71131218193524
2010-03-30 00:00:00,33.69285583496094,32.80245243035955
2010-03-31 00:00:00,33.57143020629883,32.80725959030331
2010-04-01 00:00:00,33.709999084472656,32.81639574038261
2010-04-05 00:00:00,34.06999969482422,32.90862605867839
2010-04-06 00:00:00,34.220001220703125,32.992808749282034
2010-04-07 00:00:00,34.371429443359375,32.99544663868275
2010-04-08 00:00:00,34.27857208251953,33.0078748993293
2010-04-09 00:00:00,34.54142761230469,32.971224473650565
2010-04-12 00:00:00,34.612857818603516,33.16451260974121
2010-04-13 00:00:00,34.63285827636719,33.275738253836444
2010-04-14 00:00:00,35.09857177734375,33.30748763692657
2010-04-15 00:00:00,35.560001373291016,33.35090945853691
2010-04-16 00:00:00,35.342857360839844,33.34550169518528
2010-04-19 00:00:00,35.29571533203125,33.630737522612826
2010-04-20 00:00:00,34.941429138183594,33.76826350735269
2010-04-21 00:00:00,37.031429290771484,33.821065770046374
2010-04-22 00:00:00,38.067142486572266,33.88082234998817
2010-04-23 00:00:00,38.689998626708984,33.88543011142224
2010-04-26 00:00:00,38.5,34.1685625017269
2010-04-27 00:00:00,37.43428421020508,34.29329834036772
2010-04-28 00:00:00,37.371429443359375,34.32589185847828
2010-04-29 00:00:00,38.37714385986328,34.3599517505645
2010-04-30 00:00:00,37.2985725402832,34.333189715481076
2010-05-03 00:00:00,38.04999923706055,34.5046975221701
2010-05-04 00:00:00,36.95428466796875,34.588833241762
2010-05-05 00:00:00,36.56999969482422,34.58015399177519
2010-05-06 00:00:00,35.17856979370117,34.573824523877136
2010-05-07 00:00:00,33.69428634643555,34.50892143058514
2010-05-10 00:00:00,36.28428649902344,34.592951471307515
2010-05-11 00:00:00,36.645713806152344,34.659313999518396
2010-05-12 00:00:00,37.441429138183594,34.63940179908375
2010-05-13 00:00:00,36.908573150634766,34.62947835158824
2010-05-14 00:00:00,36.2599983215332,34.56808874297941
2010-05-17 00:00:00,36.317142486572266,34.70446161759176
2010-05-18 00:00:00,36.051429748535156,34.80059479878707
2010-05-19 00:00:00,35.477142333984375,34.81488943581996
2010-05-20 00:00:00,33.96571350097656,34.84290924090312
